15 23830  0.1059712730865417 0.04718145059679284 0  0.4188790204786393 0 0   -0.4724943386937274  
15 23179  0.1051317032962514 0.04902371836192115 0  0.4363323129985826 0 0   -0.3288289242912707  
15 23834  0.1042601093707034 0.050851053027533 0  0.4537856055185259 0 0   -0.2427395976260081  
15 23836  0.1033567568058507 0.05266289796978746 0  0.4712388980384692 0 0   -0.3151728807015892  
15 23838  0.1024219207716355 0.05445870128316336 0  0.4886921905584126 0 0   -0.6310459805829838  
15 23186  0.1014558860281699 0.05623791594857512 0  0.5061454830783558 0 0   -0.6203332678071897  
15 23188  0.1004589468389949 0.05800000000000003 0  0.5235987755982991 0 0   -0.6225171791318101  
15 23190  0.09943140688144501 0.05974441668956632 0  0.5410520681182425 0 0   -0.6204388031924268  
15 23845  0.09837357915414541 0.06147063465105181 0  0.5585053606381858 0 0   -0.6058819265388564  
15 23847  0.09728578588166917 0.06317812806174318 0  0.5759586531581291 0 0   -0.2903257568547487  
15 23195  0.09616835841638482 0.06486637680260667 0  0.5934119456780724 0 0   -0.1852974970253873  
15 23851  0.09502163713752303 0.06653486661672138 0  0.6108652381980157 0 0   -0.1733482447878038  
15 23853  0.09384597134749388 0.06818308926592692 0  0.6283185307179591 0 0   -0.1899542882870144  
15 23200  0.09264171916548594 0.06981054268563765 0  0.6457718232379024 0 0   -0.1360584555914732  
15 23202  0.09140924741837972 0.0714167311377764 0  0.6632251157578457 0 0   -0.09933684844385822  
15 23204  0.09014893152900859 0.0730011653617812 0  0.680678408277789 0 0   -0.07658070907099998  
15 23860  0.08886115540180141 0.07456336272363862 0  0.6981317007977323 0 0   -0.04903358452973559  
15 23862  0.08754631130584152 0.07610284736289889 0  0.7155849933176757 0 0   -0.04749841475968187  
15 23864  0.0862047997553777 0.0776191503376276 0  0.733038285837619 0 0   -0.06489112287385308  
15 23211  0.08483702938782374 0.07911180976724988 0  0.7504915783575623 0 0   -0.1024089705258852  
15 23213  0.0834434168392835 0.08058037097324373 0  0.7679448708775056 0 0   -0.09863777179778033  
15 23869  0.08202438661763947 0.08202438661763957 0  0.7853981633974489 0 0   -0.09855967728472426  
15 23216  0.08058037097324364 0.08344341683928359 0  0.8028514559173923 0 0   -0.09866820358683803  
15 23218  0.07911180976724977 0.08483702938782382 0  0.8203047484373356 0 0   -0.1023572677918335  
15 23875  0.07761915033762749 0.08620479975537779 0  0.8377580409572789 0 0   -0.06490859935024317  
15 23877  0.07610284736289878 0.0875463113058416 0  0.8552113334772222 0 0   -0.04753935543759844  
15 23879  0.07456336272363849 0.08886115540180152 0  0.8726646259971655 0 0   -0.04900433029932719  
15 23225  0.07300116536178107 0.09014893152900869 0  0.8901179185171089 0 0   -0.07654454295295672  
